Chromosome	Window	Sample	Value
A1	2100000	IPL	2.784
A1	2100000	PVI	2.128
A1	2100000	PBE	2.128
A1	2400000	FCA	5.524
A1	2400000	IPL	2.427
A1	2400000	PBE	1.765
A1	2400000	PVI	1.765
A1	2400000	PRU	3.114
A1	2600000	FCA	5.461
A1	2600000	IPL	2.379
A1	2600000	PBE	1.94
A1	2600000	PVI	1.94
A1	2600000	PRU	2.987
A1	2500000	FCA	5.497
A1	2500000	PVI	2.093
A1	2500000	PBE	1.812
A1	2500000	IPL	1.812
A1	2500000	PRU	2.809
A1	2700000	FCA	5.557
A1	2700000	PRU	2.987
A1	2700000	IPL	2.257
A1	2700000	PVI	1.619
A1	2700000	PBE	1.619
A1	2800000	FCA	5.523
A1	2800000	PRU	3.032
A1	2800000	PBE	1.907
A1	2800000	PVI	1.907
A1	2800000	IPL	2.415
A1	3000000	FCA	5.4670000000000005
A1	3000000	PRU	2.852
A1	3000000	IPL	2.383
A1	3000000	PVI	1.8339999999999999
A1	3000000	PBE	1.8339999999999999
A1	2900000	FCA	5.443
A1	2900000	IPL	2.261
A1	2900000	PBE	1.688
A1	2900000	PVI	1.688
A1	2900000	PRU	3.2419999999999995
A1	3300000	FCA	5.485
A1	3300000	PRU	2.889
A1	3300000	IPL	2.193
A1	3300000	PVI	1.701
A1	3300000	PBE	1.701
A1	3200000	FCA	5.607
A1	3200000	IPL	2.5839999999999996
A1	3200000	PBE	1.7680000000000002
A1	3200000	PVI	1.7680000000000002
A1	3200000	PRU	3.141
A1	3100000	FCA	5.578
A1	3100000	PRU	3.4779999999999998
A1	3100000	IPL	2.63
A1	3100000	PVI	2.067
A1	3100000	PBE	2.067
A1	3500000	FCA	5.531
A1	3500000	IPL	2.478
A1	3500000	PBE	1.9369999999999998
A1	3500000	PVI	1.9369999999999998
A1	3500000	PRU	3.4250000000000003
A1	3400000	FCA	5.607
A1	3400000	IPL	2.4459999999999997
A1	3400000	PBE	1.8599999999999999
A1	3400000	PVI	1.8599999999999999
A1	3400000	PRU	3.2079999999999997
A1	3600000	FCA	5.794
A1	3600000	PRU	3.322
A1	3600000	PBE	2.215
A1	3600000	PVI	2.215
A1	3600000	IPL	2.798
A1	3700000	FCA	5.559
A1	3700000	IPL	2.557
A1	3700000	PBE	2.0650000000000004
A1	3700000	PVI	2.0650000000000004
A1	3700000	PRU	3.3640000000000003
A1	3800000	FCA	5.628
A1	3800000	IPL	2.5
A1	3800000	PBE	1.924
A1	3800000	PVI	1.924
A1	3800000	PRU	3.2
A1	3900000	FCA	5.564
A1	3900000	PRU	3.148
A1	3900000	IPL	2.404
A1	3900000	PVI	1.856
A1	3900000	PBE	1.856
A1	4000000	FCA	5.535
A1	4000000	PRU	2.94
A1	4000000	PBE	1.812
A1	4000000	PVI	1.812
A1	4000000	IPL	2.394
A1	4100000	FCA	5.715
A1	4100000	PRU	3.385
A1	4100000	IPL	2.723
A1	4100000	PVI	2.011
A1	4100000	PBE	2.011
A1	4300000	FCA	5.684
A1	4300000	PRU	3.131
A1	4300000	IPL	2.3449999999999998
A1	4300000	PVI	1.825
A1	4300000	PBE	1.825
A1	4200000	FCA	5.652
A1	4200000	PRU	3.27
A1	4200000	IPL	2.3539999999999996
A1	4200000	PVI	1.806
A1	4200000	PBE	1.806
A1	4400000	FCA	5.463
A1	4400000	PRU	2.997
A1	4400000	IPL	2.2239999999999998
A1	4400000	PVI	1.7510000000000001
A1	4400000	PBE	1.7510000000000001
A1	4600000	FCA	5.498
A1	4600000	PRU	3.117
A1	4600000	IPL	2.341
A1	4600000	PVI	1.82
A1	4600000	PBE	1.82
A1	4700000	FCA	6.056
A1	4700000	PRU	3.753
A1	4700000	IPL	3.091
A1	4700000	PVI	2.404
A1	4700000	PBE	2.404
A1	4800000	FCA	5.475
A1	4800000	PRU	3.1189999999999998
A1	4800000	IPL	2.505
A1	4800000	PVI	1.839
A1	4800000	PBE	1.839
A1	4500000	FCA	5.561
A1	4500000	PRU	3.1649999999999996
A1	4500000	IPL	2.3529999999999998
A1	4500000	PVI	1.8929999999999998
A1	4500000	PBE	1.8929999999999998
A1	5100000	FCA	5.468
A1	5100000	IPL	2.574
A1	5100000	PBE	2.044
A1	5100000	PVI	2.044
A1	5100000	PRU	3.3619999999999997
A1	4900000	FCA	5.562
A1	4900000	IPL	2.375
A1	4900000	PBE	1.892
A1	4900000	PVI	1.892
A1	4900000	PRU	3.4189999999999996
A1	5200000	FCA	5.992
A1	5200000	PRU	3.476
A1	5200000	IPL	2.4819999999999998
A1	5200000	PVI	1.952
A1	5200000	PBE	1.952
A1	5000000	FCA	5.526
A1	5000000	PRU	3.1559999999999997
A1	5000000	PBE	1.9879999999999998
A1	5000000	PVI	1.9879999999999998
A1	5000000	IPL	2.4299999999999997
A1	5400000	FCA	5.514
A1	5400000	PRU	3.2419999999999995
A1	5400000	IPL	2.5989999999999998
A1	5400000	PVI	2.0389999999999997
A1	5400000	PBE	2.0389999999999997
A1	5300000	FCA	5.563
A1	5300000	PRU	3.4479999999999995
A1	5300000	PBE	1.8900000000000001
A1	5300000	PVI	1.8900000000000001
A1	5300000	IPL	2.496
A1	5500000	FCA	5.508
A1	5500000	PRU	3.3869999999999996
A1	5500000	IPL	2.4979999999999998
A1	5500000	PVI	1.846
A1	5500000	PBE	1.846
A1	5700000	FCA	5.593
A1	5700000	PRU	3.013
A1	5700000	IPL	2.315
A1	5700000	PVI	1.841
A1	5700000	PBE	1.841
A1	5600000	FCA	5.865
A1	5600000	PRU	3.2779999999999996
A1	5600000	IPL	2.481
A1	5600000	PVI	1.879
A1	5600000	PBE	1.879
A1	5800000	FCA	5.5809999999999995
A1	5800000	IPL	2.182
A1	5800000	PBE	1.7610000000000001
A1	5800000	PVI	1.7610000000000001
A1	5800000	PRU	3.036
A1	5900000	FCA	5.632000000000001
A1	5900000	PRU	3.183
A1	5900000	PVI	2.255
A1	5900000	IPL	1.871
A1	5900000	PBE	1.871
A1	6000000	FCA	5.491
A1	6000000	PRU	2.911
A1	6000000	IPL	2.2079999999999997
A1	6000000	PVI	1.7680000000000002
A1	6000000	PBE	1.7680000000000002
A1	6100000	FCA	5.515
A1	6100000	PRU	3.018
A1	6100000	IPL	2.286
A1	6100000	PVI	1.813
A1	6100000	PBE	1.813
A1	6200000	FCA	5.493
A1	6200000	IPL	2.467
A1	6200000	PBE	1.891
A1	6200000	PVI	1.891
A1	6200000	PRU	3.143
A1	6300000	FCA	6.209
A1	6300000	PRU	3.626
A1	6300000	PBE	2.093
A1	6300000	PVI	2.093
A1	6300000	IPL	2.63
A1	6400000	FCA	5.586
A1	6400000	PRU	3.2259999999999995
A1	6400000	PBE	1.9140000000000001
A1	6400000	PVI	1.9140000000000001
A1	6400000	IPL	2.5780000000000003
A1	6600000	FCA	5.869
A1	6600000	PRU	3.3160000000000003
A1	6600000	IPL	2.461
A1	6600000	PVI	1.9480000000000002
A1	6600000	PBE	1.9480000000000002
A1	6500000	FCA	5.83
A1	6500000	PRU	3.39
A1	6500000	IPL	2.69
A1	6500000	PVI	2.032
A1	6500000	PBE	2.032
A1	6800000	FCA	5.877000000000001
A1	6800000	PRU	3.293
A1	6800000	IPL	2.545
A1	6800000	PVI	1.925
A1	6800000	PBE	1.925
A1	6700000	FCA	5.615
A1	6700000	PRU	3.4250000000000003
A1	6700000	IPL	2.478
A1	6700000	PVI	1.9529999999999998
A1	6700000	PBE	1.9529999999999998
A1	7000000	FCA	5.8229999999999995
A1	7000000	IPL	2.596
A1	7000000	PBE	1.8599999999999999
A1	7000000	PVI	1.8599999999999999
A1	7000000	PRU	3.159
A1	6900000	FCA	5.893000000000001
A1	6900000	PRU	3.627
A1	6900000	IPL	2.619
A1	6900000	PVI	2.025
A1	6900000	PBE	2.025
A1	7100000	FCA	5.708
A1	7100000	IPL	2.4219999999999997
A1	7100000	PBE	1.847
A1	7100000	PVI	1.847
A1	7100000	PRU	3.068
A1	7300000	FCA	5.557
A1	7300000	IPL	2.117
A1	7300000	PBE	1.455
A1	7300000	PVI	1.455
A1	7300000	PRU	2.8529999999999998
A1	7200000	FCA	5.779999999999999
A1	7200000	PRU	3.1460000000000004
A1	7200000	IPL	2.424
A1	7200000	PVI	2.02
A1	7200000	PBE	2.02
A1	7400000	FCA	5.678
A1	7400000	PRU	2.929
A1	7400000	IPL	2.1430000000000002
A1	7400000	PVI	1.653
A1	7400000	PBE	1.653
A1	7700000	FCA	5.846
A1	7700000	IPL	2.4
A1	7700000	PBE	1.783
A1	7700000	PVI	1.783
A1	7700000	PRU	3.003
A1	7500000	FCA	5.646
A1	7500000	PRU	2.94
A1	7500000	IPL	2.284
A1	7500000	PVI	1.762
A1	7500000	PBE	1.762
A1	7800000	FCA	5.745
A1	7800000	IPL	2.573
A1	7800000	PBE	1.706
A1	7800000	PVI	1.706
A1	7800000	PRU	3.399
A1	7600000	FCA	5.598
A1	7600000	IPL	2.329
A1	7600000	PBE	1.807
A1	7600000	PVI	1.807
A1	7600000	PRU	3.1
A1	7900000	FCA	5.501
A1	7900000	PRU	3.3910000000000005
A1	7900000	IPL	2.246
A1	7900000	PVI	1.661
A1	7900000	PBE	1.661
A1	8000000	FCA	6.366
A1	8000000	IPL	2.3619999999999997
A1	8000000	PBE	1.714
A1	8000000	PVI	1.714
A1	8000000	PRU	3.4549999999999996
A1	8100000	FCA	5.6129999999999995
A1	8100000	PRU	3.254
A1	8100000	IPL	2.401
A1	8100000	PVI	1.81
A1	8100000	PBE	1.81
A1	8200000	FCA	5.586
A1	8200000	PRU	2.935
A1	8200000	IPL	2.305
A1	8200000	PVI	1.669
A1	8200000	PBE	1.669
A1	8300000	FCA	5.8790000000000004
A1	8300000	PRU	3.488
A1	8300000	IPL	2.563
A1	8300000	PVI	2.053
A1	8300000	PBE	2.053
A1	8500000	FCA	5.801
A1	8500000	PRU	3.557
A1	8500000	IPL	2.8529999999999998
A1	8500000	PVI	2.077
A1	8500000	PBE	2.077
A1	8400000	FCA	5.523
A1	8400000	PRU	3.3160000000000003
A1	8400000	IPL	2.444
A1	8400000	PVI	1.8270000000000002
A1	8400000	PBE	1.8270000000000002
A1	8600000	FCA	5.589
A1	8600000	PRU	3.259
A1	8600000	IPL	2.504
A1	8600000	PVI	1.8599999999999999
A1	8600000	PBE	1.8599999999999999
A1	8700000	FCA	6.007
A1	8700000	PRU	3.53
A1	8700000	IPL	2.597
A1	8700000	PVI	2.001
A1	8700000	PBE	2.001
A1	8900000	FCA	5.5
A1	8900000	IPL	2.388
A1	8900000	PBE	1.8399999999999999
A1	8900000	PVI	1.8399999999999999
A1	8900000	PRU	3.0620000000000003
A1	8800000	FCA	5.4719999999999995
A1	8800000	PRU	2.949
A1	8800000	IPL	2.1319999999999997
A1	8800000	PVI	1.643
A1	8800000	PBE	1.643
A1	9000000	FCA	5.803
A1	9000000	PRU	3.163
A1	9000000	IPL	2.328
A1	9000000	PVI	1.804
A1	9000000	PBE	1.804
A1	9100000	FCA	5.65
A1	9100000	PRU	3.0269999999999997
A1	9100000	PBE	1.796
A1	9100000	PVI	1.796
A1	9100000	IPL	2.249
A1	9400000	FCA	6.218
A1	9400000	IPL	2.489
A1	9400000	PBE	1.7819999999999998
A1	9400000	PVI	1.7819999999999998
A1	9400000	PRU	3.3680000000000003
A1	9200000	FCA	5.733
A1	9200000	PRU	2.9979999999999998
A1	9200000	IPL	2.4619999999999997
A1	9200000	PVI	1.7930000000000001
A1	9200000	PBE	1.7930000000000001
A1	9300000	FCA	5.6370000000000005
A1	9300000	IPL	2.121
A1	9300000	PBE	1.6049999999999998
A1	9300000	PVI	1.6049999999999998
A1	9300000	PRU	2.7359999999999998
A1	9500000	FCA	5.555000000000001
A1	9500000	IPL	2.217
A1	9500000	PBE	1.696
A1	9500000	PVI	1.696
A1	9500000	PRU	2.944
A1	9600000	FCA	5.925
A1	9600000	PRU	3.5999999999999996
A1	9600000	IPL	2.6100000000000003
A1	9600000	PVI	2.092
A1	9600000	PBE	2.092
A1	9700000	FCA	5.744
A1	9700000	PRU	3.1649999999999996
A1	9700000	IPL	2.487
A1	9700000	PVI	1.915
A1	9700000	PBE	1.915
A1	9800000	FCA	5.518
A1	9800000	PRU	3.096
A1	9800000	PBE	1.933
A1	9800000	PVI	1.933
A1	9800000	IPL	2.519
A1	10000000	FCA	5.554
A1	10000000	IPL	2.217
A1	10000000	PBE	1.7500000000000002
A1	10000000	PVI	1.7500000000000002
A1	10000000	PRU	2.9819999999999998
A1	9900000	FCA	5.633
A1	9900000	PRU	2.955
A1	9900000	IPL	2.406
A1	9900000	PVI	1.984
A1	9900000	PBE	1.984
A1	10200000	FCA	5.452
A1	10200000	PRU	3.3550000000000004
A1	10200000	IPL	2.5180000000000002
A1	10200000	PVI	1.7850000000000001
A1	10200000	PBE	1.7850000000000001
A1	10100000	FCA	5.729
A1	10100000	IPL	2.71
A1	10100000	PBE	2.236
A1	10100000	PVI	2.236
A1	10100000	PRU	3.261
A1	10300000	FCA	5.464
A1	10300000	PRU	3.2910000000000004
A1	10300000	IPL	2.735
A1	10300000	PVI	2.215
A1	10300000	PBE	2.215
A1	10500000	FCA	5.686
A1	10500000	PRU	3.113
A1	10500000	IPL	2.231
A1	10500000	PVI	1.649
A1	10500000	PBE	1.649
A1	10400000	FCA	5.663
A1	10400000	PRU	3.327
A1	10400000	IPL	2.306
A1	10400000	PVI	1.9290000000000003
A1	10400000	PBE	1.9290000000000003
A1	10600000	FCA	5.899
A1	10600000	PRU	3.306
A1	10600000	PVI	2.33
A1	10600000	IPL	1.8319999999999999
A1	10600000	PBE	1.8319999999999999
A1	10800000	FCA	5.507
A1	10800000	PRU	3.359
A1	10800000	IPL	2.447
A1	10800000	PVI	1.6969999999999998
A1	10800000	PBE	1.6969999999999998
A1	10700000	FCA	5.510000000000001
A1	10700000	PRU	2.864
A1	10700000	IPL	2.158
A1	10700000	PVI	1.654
A1	10700000	PBE	1.654
A1	11000000	FCA	5.468
A1	11000000	PRU	3.032
A1	11000000	IPL	2.489
A1	11000000	PVI	2.01
A1	11000000	PBE	2.01
A1	10900000	FCA	5.651
A1	10900000	PRU	3.5340000000000003
A1	10900000	PBE	2.185
A1	10900000	PVI	2.185
A1	10900000	IPL	2.843
A1	11100000	FCA	5.5120000000000005
A1	11100000	PRU	3.3939999999999997
A1	11100000	PBE	1.688
A1	11100000	PVI	1.688
A1	11100000	IPL	2.558
A1	11200000	FCA	5.504
A1	11200000	IPL	2.394
A1	11200000	PBE	1.918
A1	11200000	PVI	1.918
A1	11200000	PRU	3.245
A1	11300000	FCA	5.445
A1	11300000	IPL	2.596
A1	11300000	PBE	1.855
A1	11300000	PVI	1.855
A1	11300000	PRU	3.3770000000000002
A1	11400000	FCA	5.592
A1	11400000	IPL	2.101
A1	11400000	PBE	1.459
A1	11400000	PVI	1.459
A1	11400000	PRU	2.9690000000000003
A1	11500000	FCA	5.475
A1	11500000	PRU	3.018
A1	11500000	IPL	2.635
A1	11500000	PVI	2.049
A1	11500000	PBE	2.049
A1	11600000	FCA	5.45
A1	11600000	PRU	3.5740000000000003
A1	11600000	PBE	1.591
A1	11600000	PVI	1.591
A1	11600000	IPL	2.496
A1	11700000	FCA	5.513
A1	11700000	PRU	2.863
A1	11700000	IPL	2.012
A1	11700000	PVI	1.542
A1	11700000	PBE	1.542
A1	11800000	FCA	5.453
A1	11800000	IPL	2.593
A1	11800000	PBE	2.11
A1	11800000	PVI	2.11
A1	11800000	PRU	3.167
A1	11900000	FCA	5.452
A1	11900000	IPL	3.363
A1	11900000	PRU	2.954
A1	11900000	PVI	2.1319999999999997
A1	11900000	PBE	2.1319999999999997
A1	12100000	FCA	5.503
A1	12100000	IPL	2.469
A1	12100000	PBE	1.897
A1	12100000	PVI	1.897
A1	12100000	PRU	3.02
A1	12000000	FCA	5.457999999999999
A1	12000000	PRU	3.4000000000000004
A1	12000000	IPL	2.411
A1	12000000	PVI	1.982
A1	12000000	PBE	1.982
A1	12300000	FCA	5.489
A1	12300000	PRU	2.835
A1	12300000	PBE	1.69
A1	12300000	PVI	1.69
A1	12300000	IPL	2.3609999999999998
A1	12200000	FCA	5.496
A1	12200000	PRU	3.2849999999999997
A1	12200000	IPL	2.622
A1	12200000	PVI	2.067
A1	12200000	PBE	2.067
A1	12400000	FCA	5.428
A1	12400000	IPL	2.5340000000000003
A1	12400000	PBE	1.8980000000000001
A1	12400000	PVI	1.8980000000000001
A1	12400000	PRU	3.354
A1	12600000	FCA	5.4719999999999995
A1	12600000	IPL	2.237
A1	12600000	PBE	1.729
A1	12600000	PVI	1.729
A1	12600000	PRU	3.3419999999999996
A1	12500000	FCA	5.499
A1	12500000	PRU	2.991
A1	12500000	PBE	1.7340000000000002
A1	12500000	PVI	1.7340000000000002
A1	12500000	IPL	2.4570000000000003
A1	12700000	FCA	5.448
A1	12700000	PRU	3.134
A1	12700000	IPL	2.111
A1	12700000	PVI	1.575
A1	12700000	PBE	1.575
A1	12800000	FCA	5.4510000000000005
A1	12800000	PRU	3.209
A1	12800000	IPL	2.238
A1	12800000	PVI	1.659
A1	12800000	PBE	1.659
A1	13000000	FCA	5.473
A1	13000000	PRU	2.828
A1	13000000	IPL	2.225
A1	13000000	PVI	1.7739999999999998
A1	13000000	PBE	1.7739999999999998
A1	13300000	FCA	5.491
A1	13300000	PRU	2.9610000000000003
A1	13300000	PBE	2.002
A1	13300000	PVI	2.002
A1	13300000	IPL	2.617
A1	13200000	FCA	5.58
A1	13200000	IPL	2.316
A1	13200000	PBE	1.652
A1	13200000	PVI	1.652
A1	13200000	PRU	3.267
A1	12900000	FCA	5.492
A1	12900000	PRU	3.401
A1	12900000	PBE	1.8399999999999999
A1	12900000	PVI	1.8399999999999999
A1	12900000	IPL	2.308
A1	13100000	FCA	5.487
A1	13100000	IPL	2.215
A1	13100000	PBE	1.7770000000000001
A1	13100000	PVI	1.7770000000000001
A1	13100000	PRU	3.232
A1	13400000	FCA	5.476
A1	13400000	PRU	3.3009999999999997
A1	13400000	IPL	2.488
A1	13400000	PVI	2.018
A1	13400000	PBE	2.018
A1	13500000	FCA	5.7059999999999995
A1	13500000	IPL	2.2880000000000003
A1	13500000	PBE	1.7149999999999999
A1	13500000	PVI	1.7149999999999999
A1	13500000	PRU	3.074
A1	13600000	FCA	5.43
A1	13600000	PRU	3.515
A1	13600000	IPL	2.625
A1	13600000	PVI	2.073
A1	13600000	PBE	2.073
A1	13700000	FCA	5.469
A1	13700000	PRU	3.386
A1	13700000	IPL	2.701
A1	13700000	PVI	2.052
A1	13700000	PBE	2.052
A1	13800000	FCA	5.45
A1	13800000	IPL	2.3810000000000002
A1	13800000	PBE	1.942
A1	13800000	PVI	1.942
A1	13800000	PRU	3.354
A1	14100000	FCA	5.479
A1	14100000	PRU	2.96
A1	14100000	IPL	2.398
A1	14100000	PVI	1.8159999999999998
A1	14100000	PBE	1.8159999999999998
A1	13900000	FCA	5.518
A1	13900000	IPL	2.415
A1	13900000	PBE	1.9529999999999998
A1	13900000	PVI	1.9529999999999998
A1	13900000	PRU	3.274
A1	14000000	FCA	5.479
A1	14000000	IPL	1.9220000000000002
A1	14000000	PBE	1.544
A1	14000000	PVI	1.544
A1	14000000	PRU	2.822
A1	14200000	FCA	5.521
A1	14200000	IPL	2.487
A1	14200000	PBE	1.78
A1	14200000	PVI	1.78
A1	14200000	PRU	2.9250000000000003
A1	14300000	FCA	5.4719999999999995
A1	14300000	IPL	2.664
A1	14300000	PBE	2.155
A1	14300000	PVI	2.155
A1	14300000	PRU	3.356
A1	14400000	FCA	5.587000000000001
A1	14400000	PRU	3.4229999999999996
A1	14400000	IPL	2.665
A1	14400000	PVI	1.932
A1	14400000	PBE	1.932
A1	14500000	FCA	5.524
A1	14500000	IPL	2.669
A1	14500000	PBE	2.035
A1	14500000	PVI	2.035
A1	14500000	PRU	3.5540000000000003
A1	14700000	FCA	5.445
A1	14700000	IPL	2.7279999999999998
A1	14700000	PBE	2.111
A1	14700000	PVI	2.111
A1	14700000	PRU	3.183
A1	14600000	FCA	5.624
A1	14600000	IPL	2.4619999999999997
A1	14600000	PBE	1.8780000000000001
A1	14600000	PVI	1.8780000000000001
A1	14600000	PRU	3.2419999999999995
A1	14800000	FCA	5.487
A1	14800000	PRU	3.311
A1	14800000	PBE	2.414
A1	14800000	PVI	2.414
A1	14800000	IPL	2.637
A1	15100000	FCA	5.65
A1	15100000	PBE	2.55
A1	15100000	IPL	2.221
A1	15100000	PVI	2.221
A1	15100000	PRU	3.089
A1	14900000	FCA	5.455
A1	14900000	PRU	2.916
A1	14900000	IPL	2.266
A1	14900000	PVI	1.387
A1	14900000	PBE	1.387
A1	15000000	FCA	5.52
A1	15000000	PRU	3.453
A1	15000000	PBE	2.321
A1	15000000	PVI	2.321
A1	15000000	IPL	2.7640000000000002
A1	15300000	FCA	5.428999999999999
A1	15300000	PRU	3.2030000000000003
A1	15300000	PVI	2.42
A1	15300000	IPL	2.035
A1	15300000	PBE	2.035
A1	15200000	FCA	5.556
A1	15200000	PRU	2.881
A1	15200000	PVI	2.236
A1	15200000	IPL	2.001
A1	15200000	PBE	2.001
A1	15400000	FCA	5.4879999999999995
A1	15400000	IPL	2.59
A1	15400000	PBE	2.068
A1	15400000	PVI	2.068
A1	15400000	PRU	2.973
A1	15500000	FCA	5.465
A1	15500000	IPL	2.604
A1	15500000	PBE	1.8350000000000002
A1	15500000	PVI	1.8350000000000002
A1	15500000	PRU	3.3099999999999996
A1	15700000	FCA	5.498
A1	15700000	IPL	2.409
A1	15700000	PBE	2.102
A1	15700000	PVI	2.102
A1	15700000	PRU	3.015
A1	15600000	FCA	5.473
A1	15600000	PRU	3.012
A1	15600000	PBE	1.9269999999999998
A1	15600000	PVI	1.9269999999999998
A1	15600000	IPL	2.7119999999999997
A1	15800000	FCA	5.4670000000000005
A1	15800000	PRU	3.116
A1	15800000	IPL	2.2560000000000002
A1	15800000	PVI	1.867
A1	15800000	PBE	1.867
A1	15900000	FCA	5.481
A1	15900000	IPL	2.455
A1	15900000	PBE	1.455
A1	15900000	PVI	1.455
A1	15900000	PRU	2.951
A1	16100000	FCA	5.463
A1	16100000	PRU	3.626
A1	16100000	IPL	2.646
A1	16100000	PVI	2.2009999999999996
A1	16100000	PBE	2.2009999999999996
A1	16000000	FCA	5.657
A1	16000000	PBE	2.016
A1	16000000	PVI	2.016
A1	16000000	IPL	2.923
A1	16000000	PRU	2.923
A1	16200000	FCA	5.507
A1	16200000	PRU	3.163
A1	16200000	IPL	2.27
A1	16200000	PVI	1.654
A1	16200000	PBE	1.654
A1	16300000	FCA	5.5
A1	16300000	PRU	2.85
A1	16300000	IPL	2.2800000000000002
A1	16300000	PVI	1.6219999999999999
A1	16300000	PBE	1.6219999999999999
A1	16400000	FCA	5.511
A1	16400000	IPL	2.214
A1	16400000	PBE	1.636
A1	16400000	PVI	1.636
A1	16400000	PRU	2.962
A1	16500000	FCA	5.457999999999999
A1	16500000	IPL	2.34
A1	16500000	PBE	1.864
A1	16500000	PVI	1.864
A1	16500000	PRU	2.979
A1	16600000	FCA	5.529
A1	16600000	PRU	2.793
A1	16600000	IPL	1.8929999999999998
A1	16600000	PVI	1.355
A1	16600000	PBE	1.355
A1	16700000	FCA	5.485
A1	16700000	PRU	2.9579999999999997
A1	16700000	IPL	2.329
A1	16700000	PVI	1.8929999999999998
A1	16700000	PBE	1.8929999999999998
A1	16800000	FCA	5.495
A1	16800000	IPL	2.461
A1	16800000	PBE	1.583
A1	16800000	PVI	1.583
A1	16800000	PRU	3.2870000000000004
A1	16900000	FCA	5.67
A1	16900000	PRU	3.222
A1	16900000	IPL	2.645
A1	16900000	PVI	2.0469999999999997
A1	16900000	PBE	2.0469999999999997
A1	17100000	FCA	5.455
A1	17100000	PRU	2.9979999999999998
A1	17100000	IPL	2.112
A1	17100000	PVI	1.7389999999999999
A1	17100000	PBE	1.7389999999999999
A1	17000000	FCA	5.539000000000001
A1	17000000	PRU	2.5170000000000003
A1	17000000	IPL	2.11
A1	17000000	PVI	1.567
A1	17000000	PBE	1.567
A1	17200000	FCA	5.462
A1	17200000	IPL	2.613
A1	17200000	PBE	1.994
A1	17200000	PVI	1.994
